Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2020-01-29,78.42131805419922,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200
2020-01-30,78.30767822265625,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200
2020-01-31,74.83560180664062,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400
2020-02-03,74.63009643554688,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400
2020-02-04,77.09390258789062,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400
2020-02-05,77.72257232666016,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800
2020-02-06,78.63166809082031,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600
2020-02-07,77.56285858154297,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000
2020-02-10,77.93124389648438,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800
2020-02-11,77.46106719970703,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200
2020-02-12,79.30057525634766,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400
2020-02-13,78.73587799072266,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600
2020-02-14,78.7552719116211,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600
2020-02-18,77.31322479248047,79.75,79.9375,78.65249633789062,78.83999633789062,152531200
2020-02-19,78.43291473388672,80.90499877929688,81.14250183105469,80.0,80.0,93984000
2020-02-20,77.6282958984375,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000
2020-02-21,75.87117004394531,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000
2020-02-24,72.26727294921875,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200
2020-02-25,69.81941223144531,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600
2020-02-26,70.92700958251953,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800
2020-02-27,66.29064178466797,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600
2020-02-28,66.2518539428711,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000
2020-03-02,72.41993713378906,74.70249938964844,75.36000061035156,69.43000030517578,70.56999969482422,341397200
2020-03-03,70.11993408203125,72.33000183105469,76.0,71.44999694824219,75.9175033569336,319475600
2020-03-04,73.37242889404297,75.68499755859375,75.8499984741211,73.28250122070312,74.11000061035156,219178400
2020-03-05,70.9924545288086,73.2300033569336,74.88749694824219,72.85250091552734,73.87999725341797,187572800
2020-03-06,70.04965209960938,72.25749969482422,72.70500183105469,70.30750274658203,70.5,226176800
2020-03-09,64.50928497314453,66.5425033569336,69.52249908447266,65.75,65.9375,286744800
2020-03-10,69.15534210205078,71.33499908447266,71.61000061035156,67.34249877929688,69.28500366210938,285290000
2020-03-11,66.75354766845703,68.85749816894531,70.30500030517578,67.96499633789062,69.34750366210938,255598800
2020-03-12,60.161312103271484,62.057498931884766,67.5,62.0,63.98500061035156,418474000
2020-03-13,67.36913299560547,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000
2020-03-16,58.70230484008789,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600
2020-03-17,61.28345489501953,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000
2020-03-18,59.78323745727539,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600
2020-03-19,59.325172424316406,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200
2020-03-20,55.55888748168945,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200
2020-03-23,54.378578186035156,56.092498779296875,57.125,53.15250015258789,57.02000045776367,336752800
2020-03-24,59.83414077758789,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200
2020-03-25,59.5045280456543,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000
2020-03-26,62.63582229614258,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200
2020-03-27,60.04256057739258,61.935001373291016,63.967498779296875,61.76250076293945,63.1875,204216800
2020-03-30,61.75605392456055,63.70249938964844,63.880001068115234,62.349998474121094,62.685001373291016,167976400
2020-03-31,61.630035400390625,63.5724983215332,65.62249755859375,63.0,63.900001525878906,197002000
2020-04-01,58.38723373413086,60.227500915527344,62.18000030517578,59.782501220703125,61.625,176218400
2020-04-02,59.361534118652344,61.23249816894531,61.287498474121094,59.224998474121094,60.084999084472656,165934000
2020-04-03,58.50841522216797,60.352500915527344,61.42499923706055,59.74250030517578,60.70000076293945,129880000
2020-04-06,63.61254119873047,65.61750030517578,65.77749633789062,62.345001220703125,62.724998474121094,201820400
2020-04-07,62.87575912475586,64.85749816894531,67.92500305175781,64.75,67.69999694824219,202887200
2020-04-08,64.48506164550781,66.51750183105469,66.84249877929688,65.30750274658203,65.68499755859375,168895200
2020-04-09,64.95037841796875,66.99749755859375,67.51750183105469,66.17500305175781,67.17500305175781,161834800
2020-04-13,66.22520446777344,68.3125,68.42500305175781,66.4574966430664,67.07749938964844,131022800
2020-04-14,69.56977844238281,71.76249694824219,72.0625,69.51249694824219,70.0,194994800
2020-04-15,68.9347915649414,71.10749816894531,71.5824966430664,70.15750122070312,70.5999984741211,131154400
2020-04-16,69.48252868652344,71.67250061035156,72.05000305175781,70.5875015258789,71.84500122070312,157125200
2020-04-17,68.53973388671875,70.69999694824219,71.73750305175781,69.21499633789062,71.17250061035156,215250000
2020-04-20,67.11709594726562,69.23249816894531,70.41999816894531,69.2125015258789,69.48750305175781,130015200
2020-04-21,65.0424575805664,67.09249877929688,69.3125,66.35749816894531,69.06999969482422,180991600
2020-04-22,66.91592407226562,69.0250015258789,69.4749984741211,68.05000305175781,68.40249633789062,116862400
2020-04-23,66.65660095214844,68.75749969482422,70.4375,68.71749877929688,68.96749877929688,124814400
2020-04-24,68.58094787597656,70.74250030517578,70.75250244140625,69.25,69.30000305175781,126161200
2020-04-27,68.62945556640625,70.7925033569336,71.13500213623047,69.98750305175781,70.44999694824219,117087600
2020-04-28,67.5169677734375,69.6449966430664,71.4574966430664,69.55000305175781,71.2699966430664,112004800
2020-04-29,69.7345962524414,71.93250274658203,72.4175033569336,70.97250366210938,71.18250274658203,137280800
2020-04-30,71.20571899414062,73.44999694824219,73.63249969482422,72.0875015258789,72.48999786376953,183064000
2020-05-01,70.05936431884766,72.26750183105469,74.75,71.4625015258789,71.5625,240616800
2020-05-04,71.05061340332031,73.29000091552734,73.42250061035156,71.58000183105469,72.2925033569336,133568000
2020-05-05,72.11699676513672,74.38999938964844,75.25,73.61499786376953,73.76499938964844,147751200
2020-05-06,72.86105346679688,75.15750122070312,75.80999755859375,74.71749877929688,75.11499786376953,142333600
2020-05-07,73.61479949951172,75.93499755859375,76.2925033569336,75.49250030517578,75.80500030517578,115215200
2020-05-08,75.366943359375,77.53250122070312,77.5875015258789,76.07250213623047,76.41000366210938,133838400
2020-05-11,76.5528793334961,78.75250244140625,79.26249694824219,76.80999755859375,77.0250015258789,145946400
2020-05-12,75.6780014038086,77.85250091552734,79.92250061035156,77.72750091552734,79.4574966430664,162301200
2020-05-13,74.7642593383789,76.9124984741211,78.98750305175781,75.80249786376953,78.0374984741211,200622400
2020-05-14,75.22357940673828,77.38500213623047,77.44750213623047,75.38249969482422,76.12750244140625,158929200
2020-05-15,74.77884674072266,76.92749786376953,76.9749984741211,75.05249786376953,75.0875015258789,166348400
2020-05-18,76.54073333740234,78.73999786376953,79.125,77.58000183105469,78.2925033569336,135178400
2020-05-19,76.09842681884766,78.28500366210938,79.62999725341797,78.25250244140625,78.75749969482422,101729600
2020-05-20,77.57839965820312,79.80750274658203,79.87999725341797,79.12999725341797,79.16999816894531,111504800
2020-05-21,77.00003051757812,79.2125015258789,80.22250366210938,78.96749877929688,79.66500091552734,102688800
2020-05-22,77.49578857421875,79.72250366210938,79.80750274658203,78.8375015258789,78.94249725341797,81803200
2020-05-26,76.97087097167969,79.18250274658203,81.05999755859375,79.125,80.875,125522000
2020-05-27,77.30621337890625,79.52749633789062,79.67749786376953,78.27249908447266,79.03500366210938,112945200
2020-05-28,77.34024810791016,79.5625,80.86000061035156,78.90750122070312,79.19249725341797,133560800
2020-05-29,77.26490783691406,79.48500061035156,80.2874984741211,79.11750030517578,79.8125,153532400
2020-06-01,78.21510314941406,80.4625015258789,80.5875015258789,79.30249786376953,79.4375,80791200
2020-06-02,78.57718658447266,80.83499908447266,80.86000061035156,79.73249816894531,80.1875,87642800
2020-06-03,79.00977325439453,81.27999877929688,81.55000305175781,80.57499694824219,81.16500091552734,104491200
2020-06-04,78.329345703125,80.58000183105469,81.40499877929688,80.19499969482422,81.09750366210938,87560400
2020-06-05,80.56021118164062,82.875,82.9375,80.80750274658203,80.8375015258789,137250400
2020-06-08,81.03654479980469,83.36499786376953,83.4000015258789,81.83000183105469,82.5625,95654400
2020-06-09,83.59550476074219,85.99749755859375,86.40249633789062,83.00250244140625,83.03500366210938,147712400
2020-06-10,85.74620819091797,88.20999908447266,88.69249725341797,86.52249908447266,86.9749984741211,166651600
2020-06-11,81.62950134277344,83.9749984741211,87.76499938964844,83.87000274658203,87.32749938964844,201662400
2020-06-12,82.33423614501953,84.69999694824219,86.94999694824219,83.55500030517578,86.18000030517578,200146000
2020-06-15,83.35247802734375,85.74749755859375,86.41999816894531,83.1449966430664,83.3125,138808800
2020-06-16,85.56153106689453,88.0199966430664,88.30000305175781,86.18000030517578,87.86499786376953,165428800
2020-06-17,85.44245910644531,87.89749908447266,88.8499984741211,87.77249908447266,88.7874984741211,114406400
2020-06-18,85.47647857666016,87.93250274658203,88.36250305175781,87.30500030517578,87.85250091552734,96820400
2020-06-19,84.98800659179688,87.43000030517578,89.13999938964844,86.2874984741211,88.66000366210938,264476000
2020-06-22,87.21161651611328,89.71749877929688,89.86499786376953,87.7874984741211,87.83499908447266,135445200
2020-06-23,89.07312774658203,91.63249969482422,93.09500122070312,90.56749725341797,91.0,212155600
2020-06-24,87.50080108642578,90.01499938964844,92.19750213623047,89.62999725341797,91.25,192623200
2020-06-25,88.66240692138672,91.20999908447266,91.25,89.39250183105469,90.17500305175781,137522400
2020-06-26,85.93819427490234,88.40750122070312,91.33000183105469,88.25499725341797,91.10250091552734,205256800
2020-06-29,87.91879272460938,90.44499969482422,90.5425033569336,87.81999969482422,88.3125,130646000
2020-06-30,88.65269470214844,91.19999694824219,91.49500274658203,90.0,90.0199966430664,140223200
2020-07-01,88.48502349853516,91.02749633789062,91.83999633789062,90.97750091552734,91.27999877929688,110737200
2020-07-02,88.48502349853516,91.02749633789062,92.61750030517578,90.91000366210938,91.9625015258789,114041600
2020-07-06,90.85201263427734,93.4625015258789,93.94499969482422,92.46749877929688,92.5,118655600
2020-07-07,90.57011413574219,93.17250061035156,94.65499877929688,93.05750274658203,93.85250091552734,112424400
2020-07-08,92.67949676513672,95.34249877929688,95.375,94.08999633789062,94.18000030517578,117092000
2020-07-09,93.07804107666016,95.75250244140625,96.31749725341797,94.67250061035156,96.26249694824219,125642800
2020-07-10,93.2408447265625,95.91999816894531,95.9800033569336,94.70500183105469,95.33499908447266,90257200
2020-07-13,92.81072235107422,95.47750091552734,99.95500183105469,95.25749969482422,97.26499938964844,191649200
2020-07-14,94.34660339355469,97.05750274658203,97.25499725341797,93.87750244140625,94.83999633789062,170989200
2020-07-15,94.9954605102539,97.7249984741211,99.24749755859375,96.48999786376953,98.98999786376953,153198000
2020-07-16,93.82654571533203,96.52249908447266,97.40499877929688,95.90499877929688,96.5625,110577600
2020-07-17,93.63699340820312,96.32749938964844,97.14749908447266,95.83999633789062,96.98750305175781,92186800
2020-07-20,95.61028289794922,98.35749816894531,98.5,96.0625,96.4175033569336,90318000
2020-07-21,94.29070281982422,97.0,99.25,96.74250030517578,99.17250061035156,103433200
2020-07-22,94.55558776855469,97.27249908447266,97.9749984741211,96.60250091552734,96.69249725341797,89001600
2020-07-23,90.25175476074219,92.84500122070312,97.07749938964844,92.01000213623047,96.99749755859375,197004400
2020-07-24,90.0281753540039,92.61499786376953,92.97000122070312,89.1449966430664,90.98750305175781,185438800
2020-07-27,92.16188049316406,94.80999755859375,94.90499877929688,93.4800033569336,93.70999908447266,121214000
2020-07-28,90.64788055419922,93.25250244140625,94.55000305175781,93.24749755859375,94.36750030517578,103625600
2020-07-29,92.38546752929688,95.04000091552734,95.2300033569336,93.7125015258789,93.75,90329200
2020-07-30,93.50334167480469,96.19000244140625,96.29750061035156,93.76750183105469,94.1875,158130000
2020-07-31,103.29206848144531,106.26000213623047,106.41500091552734,100.82499694824219,102.88500213623047,374336800
2020-08-03,105.89478302001953,108.9375,111.63749694824219,107.89250183105469,108.19999694824219,308151200
2020-08-04,106.60195922851562,109.66500091552734,110.79000091552734,108.38749694824219,109.13249969482422,173071600
2020-08-05,106.98836517333984,110.0625,110.39250183105469,108.89749908447266,109.37750244140625,121776800
2020-08-06,110.72108459472656,113.90249633789062,114.4124984741211,109.79750061035156,110.40499877929688,202428800
2020-08-07,108.20377349853516,111.11250305175781,113.67500305175781,110.2925033569336,113.20500183105469,198045600
2020-08-10,109.7764892578125,112.72750091552734,113.7750015258789,110.0,112.5999984741211,212403600
2020-08-11,106.51177215576172,109.375,112.48249816894531,109.10749816894531,111.97000122070312,187902400
2020-08-12,110.05159759521484,113.01000213623047,113.2750015258789,110.29750061035156,110.49749755859375,165598000
2020-08-13,111.9992446899414,115.01000213623047,116.0425033569336,113.92749786376953,114.43000030517578,210082000
2020-08-14,111.89942169189453,114.90750122070312,115.0,113.04499816894531,114.83000183105469,165565200
2020-08-17,111.60726165771484,114.60749816894531,116.0875015258789,113.9625015258789,116.0625,119561600
